date,xCMA,xSCMA
1972-12-29,-0.02170868545474694,-0.015671540904084603
1973-01-31,0.0019966192055962118,-0.02762890412039775
1973-02-28,-0.0032983051562722743,-0.03774552774280685
1973-03-30,0.0020078989206114353,-0.015430909431226592
1973-04-30,0.02706436507290473,-0.026279573444827904
1973-05-31,-0.015487572302392609,-0.05740833302204597
1973-06-29,-0.0045891431579845494,-0.019177520631581374
1975-07-31,0.01251453641229193,0.034014428013140904
1975-08-29,-0.009197395820548092,-0.02516981194889725
1975-09-30,0.004560254973652651,0.0008491625056763902
1975-10-31,0.02528687289810122,-0.04304748693378062
1975-11-28,0.01756727611090326,-0.006033084708687277
1975-12-31,0.006234458780792974,0.0021282747354615435
1976-01-30,0.021682605111576936,0.0680119564664535
1976-02-27,0.036875556548159064,0.08205890438829783
1976-03-31,0.00885813007298929,-0.015106315267394414
