date,xHML,xSHML
1972-05-31,-0.02097270312900148,-0.029351899402198373
1972-06-30,-0.017511725658738674,-0.0017837994853699794
1972-07-31,0.004863950383200883,-0.03056434149768422
1972-08-31,0.04598103151942632,-0.04039468050922983
1972-09-29,0.0036014143960256713,-0.02452239360257036
1972-10-31,0.009547035520944488,-0.026759014030583426
1972-11-30,0.044588852105014495,-0.008076742700521639
1972-12-29,-0.02396224988996341,-0.01649685408380177
1973-01-31,0.02715211480667381,-0.036721015707678016
1973-02-28,0.016641189860349945,-0.03825880194847154
1973-03-30,0.02662332257199091,-0.02588810610850042
1973-04-30,0.05908852210550672,-0.04086970430313446
1973-05-31,0.0024591138666296974,-0.06133919102039487
1973-06-29,0.011126968192940206,-0.027420074439278932
1975-07-31,0.016585059561185188,0.02960471669002099
